N;wordnetid;name;description
146;n02099267;flat-coated retriever;"an English breed having a shiny black or liver-colored coat; retrieves game from land or water"
650;n01924916;flatworm, platyhelminth;parasitic or free-living worms having a flattened body
356;n03372029;flute, transverse flute;"a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed... <Preview truncated at 128 characters>"
629;n02190166;fly;two-winged insects characterized by active flight
309;n03376595;folding chair;a chair that can be folded flat for storage
784;n03379051;football helmet;a padded helmet with a face mask to protect the head of football players
261;n03384352;forklift;a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them
712;n03388043;fountain;a structure from which an artificially produced jet of water arises
934;n03388183;fountain pen;a pen that is supplied with ink from a reservoir in its barrel
299;n03388549;four-poster;a bed with posts at the four corners that can be used to support a canopy or curtains
53;n02356798;fox squirrel, eastern fox squirrel, Sciurus niger;exceptionally large arboreal squirrel of eastern United States
256;n03393912;freight car;a railway car that carries freight
82;n02108915;French bulldog;small stocky version of the bulldog having a sleek coat and square head
348;n03394916;French horn, horn;a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves
873;n07684084;French loaf;a loaf of French bread
468;n01688243;frilled lizard, Chlamydosaurus kingi;large arboreal insectivorous Australian lizard with a ruff of skin around the neck
671;n03400231;frying pan, frypan, skillet;a pan used for frying foods
757;n03404251;fur coat;a coat made of fur
457;n02641379;gar, garfish, garpike, billfish, Lepisosteus osseus;primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth
280;n03417042;garbage truck, dustcart;"a truck for collecting domestic refuse; ""in Britain a garbage truck is called a dustcart"""
606;n01773797;garden spider, Aranea diademata;a spider common in European gardens
482;n01735189;garter snake, grass snake;any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes
567;n03425413;gas pump, gasoline pump, petrol pump, island dispenser;a pump in a service station that draws gasoline from underground storage tanks
971;n03424325;gasmask, respirator, gas helmet;"a protective mask with a filter; protects the face and lungs against poisonous gases"
12;n02423022;gazelle;small swift graceful antelope of Africa and Asia having lustrous eyes
211;n02106662;German shepherd, German shepherd dog, German police dog, alsatian;breed of large shepherd dogs used in police work and as a guide for the blind
134;n02100236;German short-haired pointer;"liver or liver-and-white hunting dog developed in Germany; 3/4 pointer and 1/4 bloodhound"
368;n09288635;geyser;a spring that discharges hot water and steam
169;n02510455;giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca;"large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of th... <Preview truncated at 128 characters>"
36;n02097130;giant schnauzer;a large schnauzer
185;n02483362;gibbon, Hylobates lar;"smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies"
470;n01692333;Gila monster, Heloderma suspectum;"large orange and black lizard of southwestern United States; not dangerous unless molested"
275;n03444034;go-kart;"a small low motor vehicle with four wheels and an open framework; used for racing"
955;n03443371;goblet;a drinking glass with a base and stem
125;n02099601;golden retriever;an English breed having a long silky golden coat
387;n01531178;goldfinch, Carduelis carduelis;small European finch having a crimson face and yellow-and-black wings
450;n01443537;goldfish, Carassius auratus;small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
792;n03445777;golf ball;"a small hard ball used in playing golf; dimpled to reduce wind resistance"
276;n03445924;golfcart, golf cart;a small motor vehicle in which golfers can ride between shots
236;n03447447;gondola;"long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice"
337;n03447721;gong, tam-tam;a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
420;n01855672;goose;web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
154;n02101006;Gordon setter;a Scottish breed with a black-and-tan coat
104;n02480855;gorilla, Gorilla gorilla;"largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa"
911;n03450230;gown;a womans dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions
227;n03452741;grand piano, grand;"a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs"
318;n07742313;Granny Smith;apple with a green skin and hard tart flesh
631;n02226429;grasshopper, hopper;terrestrial plant-eating insect with hind legs adapted for leaping
17;n02109047;Great Dane;very large powerful smooth-coated breed of dog
400;n01622779;great grey owl, great gray owl, Strix nebulosa;large dish-faced owl of northern North America and western Eurasia
172;n02111500;Great Pyrenees;bred of large heavy-coated white dogs resembling the Newfoundland
442;n01484850;great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;"large aggressive shark widespread in warm seas; known to attack humans"
114;n02107574;Greater Swiss Mountain dog;the largest of the four Swiss breeds
471;n01693334;green lizard, Lacerta viridis;a common Eurasian lizard about a foot long
489;n01749939;green mamba;green phase of the black mamba
480;n01729977;green snake, grass snake;either of two North American chiefly insectivorous snakes that are green in color
684;n03457902;greenhouse, nursery, glasshouse;"a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions"
67;n02120505;grey fox, gray fox, Urocyon cinereoargenteus;"dark grey American fox; from Central America through southern United States"
6;n02066245;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;medium-sized greyish-black whale of the northern Pacific
725;n03459775;grille, radiator grille;grating that admits cooling air to cars radiator
703;n03461385;grocery store, grocery, food market, market;"a marketplace where groceries are sold; ""the grocery store included a meat market"""
93;n02105056;groenendael;black-coated sheepdog with a heavily plumed tail
848;n10148035;groom, bridegroom;a man participant in his own marriage ceremony
623;n02167151;ground beetle, carabid beetle;predacious shining black or metallic terrestrial beetle that destroys many injurious insects
813;n07583066;guacamole;a dip made of mashed avocado mixed with chopped onions and other seasonings
73;n02484975;guenon, guenon monkey;small slender African monkey having long hind limbs and tail and long hair around the face
517;n03467068;guillotine;"instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people"
101;n02364673;guinea pig, Cavia cobaya;"stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research"
956;n13037406;gyromitra;any fungus of the genus Gyromitra
581;n03476684;hair slide;a decorative hinged clip that girls and women put in their hair to hold it in place
895;n03476991;hair spray;toiletry consisting of a commercial preparation that is sprayed on the hair to hold it in place
249;n03478589;half track;"a motor vehicle propelled by half tracks; frequently used by the military"
375;n03481172;hammer;"a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking"
444;n01494475;hammerhead, hammerhead shark;"medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dang... <Preview truncated at 128 characters>"
840;n03482405;hamper;a basket usually with a cover
157;n02342885;hamster;short-tailed Old World burrowing rodent with large cheek pouches
505;n03483316;hand blower, blow dryer, blow drier, hair dryer, hair drier;"a hand-held electric blower that can blow warm air onto the hair; used for styling hair"
551;n03485407;hand-held computer, hand-held microcomputer;a portable battery-powered computer small enough to be carried in your pocket
750;n03485794;handkerchief, hankie, hanky, hankey;a square piece of cloth used for wiping the eyes or nose or as a costume accessory
573;n03492542;hard disc, hard disk, fixed disk;a rigid magnetic disk mounted permanently in a drive unit
129;n02326432;hare;"swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with ope... <Preview truncated at 128 characters>"
350;n03494278;harmonica, mouth organ, harp, mouth harp;a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired... <Preview truncated at 128 characters>
344;n03495258;harp;"a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched b... <Preview truncated at 128 characters>"
65;n02422106;hartebeest;a large African antelope with lyre-shaped horns that curve backward
554;n03496892;harvester, reaper;farm machine that gathers a food crop from the fields
602;n01770081;harvestman, daddy longlegs, Phalangium opilio;spiderlike arachnid with a small rounded body and very long thin legs
369;n03498962;hatchet;a small ax with a short handle used with one hand (usually to chop wood)
816;n07802026;hay;grass mowed and cured for use as fodder
736;n07714571;head cabbage;"any of several varieties of cabbage having a large compact globular head; may be steamed or boiled or stir-fried or used raw in ... <Preview truncated at 128 characters>"
384;n01514859;hen;adult female bird
812;n13052670;hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa;large greyish-brown edible fungus forming a mass of overlapping caps that somewhat resembles a hen at the base of trees
620;n01986214;hermit crab;small soft-bodied marine crustaceans living in cast-off shells of gastropods
328;n12620546;hip, rose hip, rosehip;the fruit of a rose plant
167;n02398521;hippopotamus, hippo, river horse, Hippopotamus amphibius;massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
147;n02395406;hog, pig, grunter, squealer, Sus scrofa;domestic swine
479;n01729322;hognose snake, puff adder, sand viper;"harmless North American snake with upturned nose; may spread its head and neck or play dead when disturbed"
787;n03527444;holster;a sheath (usually leather) for carrying a handgun
696;n03529860;home theater, home theatre;television and video equipment designed to reproduce in the home the experience of being in a movie theater
730;n03530642;honeycomb;a framework of hexagonal cells resembling the honeycomb built by bees
562;n03532672;hook, claw;a mechanical device that is curved or bent to suspend or hold or pull something
802;n03534580;hoopskirt, crinoline;a skirt stiffened with hoops
924;n03535780;horizontal bar, high bar;gymnastic apparatus consisting of a bar supported in a horizontal position by uprights at both ends
414;n01829413;hornbill;"bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers"
491;n01753488;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
293;n03538406;horse cart, horse-cart;"heavy cart; drawn by a horse; used for farm work"
771;n07590611;hot pot, hotpot;a stew of meat and potatoes cooked in a tightly covered pot
885;n07697537;hotdog, hot dog, red hot;a frankfurter served hot on a bun
525;n03544143;hourglass;a sandglass that runs for sixty minutes
388;n01532829;house finch, linnet, Carpodacus mexicanus;small finch originally of the western United States and Mexico
166;n02492660;howler monkey, howler;monkey of tropical South American forests having a loud howling cry
415;n01833805;hummingbird;"tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight"
34;n02117135;hyena, hyaena;doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
9;n02417914;ibex, Capra ibex;wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
204;n02091244;Ibizan hound, Ibizan Podenco;"breed of slender agile medium-sized hound found chiefly in the Balearic Islands; said to have been bred originally by the Pharao... <Preview truncated at 128 characters>"
103;n02134084;ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus;white bear of Arctic regions
974;n07614500;ice cream, icecream;frozen dessert containing cream and sugar and flavoring
968;n07615774;ice lolly, lolly, lollipop, popsicle;"ice cream or water ice on a small wooden stick; ""in England a popsicle is called an ice lolly"""
57;n02422699;impala, Aepyceros melampus;"African antelope with ridged curved horns; moves with enormous leaps"
488;n01748264;Indian cobra, Naja naja;a cobra of tropical Africa and Asia
194;n02504013;Indian elephant, Elephas maximus;Asian elephant having smaller ears and tusks primarily in the male
390;n01537544;indigo bunting, indigo finch, indigo bird, Passerina cyanea;small deep blue North American bunting
75;n02500267;indri, indris, Indri indri, Indri brevicaudatus;large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn
980;n03584254;iPod;(trademark) a pocket-sized device used to play music files
192;n02100877;Irish setter, red setter;an Irish breed with a chestnut-brown or mahogany-red coat
126;n02093991;Irish terrier;"medium-sized breed with a wiry brown coat; developed in Ireland"
117;n02102973;Irish water spaniel;breed of large spaniels developed in Ireland having a heavy coat of liver-colored curls and a topknot of long curls and a nearly... <Preview truncated at 128 characters>
77;n02090721;Irish wolfhound;large breed of hound with a rough thick coat
659;n03584829;iron, smoothing iron;home appliance consisting of a flat metal base that is heated and used to smooth cloth
612;n01990800;isopod;any of various small terrestrial or aquatic crustaceans with seven pairs of legs adapted for crawling
189;n02091032;Italian greyhound;a toy dog developed from the greyhound
416;n01843065;jacamar;tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
592;n03590841;jack-o-lantern;lantern carved from a pumpkin
324;n07754684;jackfruit, jak, jack;"immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted"
30;n02128925;jaguar, panther, Panthera onca, Felis onca;"a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Feli... <Preview truncated at 128 characters>"
99;n02085782;Japanese spaniel;breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat
393;n01580077;jay;crested largely blue bird
748;n03594734;jean, blue jean, denim;(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
269;n03594945;jeep, landrover;a car suitable for traveling over rough terrain
647;n01910747;jellyfish;any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and... <Preview truncated at 128 characters>
961;n03595614;jersey, T-shirt, tee shirt;a close-fitting pullover shirt
963;n03598930;jigsaw puzzle;a puzzle that requires you to reassemble a picture that has been mounted on a stiff base and cut into interlocking pieces
294;n03599486;jinrikisha, ricksha, rickshaw;"a small two-wheeled cart for one passenger; pulled by one person"
560;n03602883;joystick;"a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or... <Preview truncated at 128 characters>"
389;n01534433;junco, snowbird;small North American finch seen chiefly in winter
148;n02112350;keeshond;a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
184;n02105412;kelpie;an Australian sheepdog with pointed ears
107;n02093859;Kerry blue terrier;an Irish breed of medium-sized terriers with a silky blue-grey coat
22;n02071294;killer whale, killer, orca, grampus, sea wolf, Orcinus orca;"predatory black-and-white toothed whale with large dorsal fin; common in cold seas"
770;n03617480;kimono;"a loose robe; imitated from robes originally worn by Japanese"
616;n01981276;king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica;large edible crab of northern Pacific waters especially along the coasts of Alaska and Japan
440;n02056570;king penguin, Aptenodytes patagonica;large penguin on islands bordering the Antarctic Circle
481;n01734418;king snake, kingsnake;"any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals"
1;n02119789;kit fox, Vulpes macrotis;"small grey fox of southwestern United States; may be a subspecies of Vulpes velox"
397;n01608432;kite;any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animal... <Preview truncated at 128 characters>
773;n03623198;knee pad;protective garment consisting of a pad worn by football or baseball or hockey players
582;n03627232;knot;any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
213;n01882714;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;"sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark"
473;n01695060;Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis;"the largest lizard in the world (10 feet); found on Indonesian islands"
97;n02105505;komondor;"Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog"
141;n02104029;kuvasz;"long-established Hungarian breed of tall light-footed but sturdy white dog; used also as a hunting dog"
918;n03630383;lab coat, laboratory coat;a light coat worn to protect clothing from substances used while working in a laboratory
176;n02099712;Labrador retriever;breed originally from Labrador having a short black or golden-brown coat
638;n02264363;lacewing, lacewing fly;"any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae); larvae feed on insect pests such as aphids"
892;n03633091;ladle;"a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another"
622;n02165456;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
152;n02095570;Lakeland terrier;breed of wire-haired terrier originally from the Lake District of England and used for hunting
366;n09332890;lakeside, lakeshore;the shore of a lake
814;n03637318;lampshade, lamp shade;a protective ornamental shade used to screen a light bulb from direct view
203;n02488291;langur;slender long-tailed monkey of Asia
228;n03642806;laptop, laptop computer;a portable computer small enough to use in your lap
374;n03649909;lawn mower, mower;garden tool for mowing grass on lawns
625;n02169497;leaf beetle, chrysomelid;"brightly colored beetle that feeds on plant leaves; larvae infest roots and stems"
637;n02259212;leafhopper;small leaping insect that sucks the juices of plants
459;n01665541;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;"wide-ranging marine turtle with flexible leathery carapace; largest living turtle"
320;n07749582;lemon;yellow oval fruit with juicy acidic flesh
988;n03657121;lens cap, lens cover;cap used to keep lens free of dust when not in use
133;n02111129;Leonberg;a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland
85;n02128385;leopard, Panthera pardus;large feline of African and Asian forests usually having a tawny coat with black spots
7;n02509815;lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens;"reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
371;n03658185;letter opener, paper knife, paperknife;dull knife used to cut open the envelopes in which letters are mailed or to slit uncut pages of books
56;n02098413;Lhasa, Lhasa apso;a breed of terrier having a long heavy coat raised in Tibet as watchdogs
687;n03661043;library;a building that houses a collection of books and other materials
238;n03662601;lifeboat;a strong sea boat designed to rescue people from a sinking ship
546;n03666591;lighter, light, igniter, ignitor;"a device for lighting or igniting fuel or charges or fires; ""do you have a light?"""
270;n03670208;limousine, limo;"large luxurious car; usually driven by a chauffeur"
430;n02013706;limpkin, Aramus pictus;wading bird of Florida, Cuba and Jamaica having a drooping bill and a distinctive wailing call
244;n03673027;liner, ocean liner;a large commercial ship (especially one that carries passengers on a regular schedule)
190;n02129165;lion, king of beasts, Panthera leo;large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
454;n02643566;lionfish;brightly striped fish of the tropical Pacific having elongated spiny fins
867;n03676483;lipstick, lip rouge;makeup that is used to color the lips
427;n02009229;little blue heron, Egretta caerulea;small bluish-grey heron of the western hemisphere
186;n02437616;llama;wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
973;n03680355;Loafer;"a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel"
458;n01664065;loggerhead, loggerhead turtle, Caretta caretta;"very large carnivorous sea turtle; wide-ranging in warm open seas"
624;n02168699;long-horned beetle, longicorn, longicorn beetle;long-bodied beetle having very long antennae
411;n01820546;lorikeet;any of various small lories
894;n03690938;lotion;any of various cosmetic preparations that are applied to the skin
508;n03691459;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance
536;n03692522;loupe, jewelers loupe;small magnifying glass (usually set in an eyepiece) used by jewelers and horologists
697;n03697007;lumbermill, sawmill;a mill for dressing logs and lumber
646;n02281787;lycaenid, lycaenid butterfly;any of various butterflies of the family Lycaenidae
201;n02127052;lynx, catamount;"short-tailed wildcats with usually tufted ears; valued for their fur"
138;n02487347;macaque;short-tailed monkey of rocky regions of Asia and Africa
409;n01818515;macaw;"long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots"
199;n02497673;Madagascar cat, ring-tailed lemur, Lemur catta;small lemur having its tail barred with black
532;n03706229;magnetic compass;compass based on an indicator (as a magnetic needle) that points to the magnetic north
394;n01582220;magpie;long-tailed black-and-white crow that utters a raucous chattering call
818;n03709823;mailbag, postbag;"letter carriers shoulder bag; ""in Britain they call a mailbag a postbag"""
917;n03710193;mailbox, letter box;a private box for delivery of mail
782;n03710637;maillot;tights for dancers or gymnasts
977;n03710721;maillot, tank suit;a womans one-piece bathing suit
15;n02110063;malamute, malemute, Alaskan malamute;breed of sled dog developed in Alaska
51;n02105162;malinois;fawn-colored short-haired sheepdog
87;n02085936;Maltese dog, Maltese terrier, Maltese;breed of toy dogs having a long straight silky white coat
763;n03717622;manhole cover;a flush iron cover for a manhole (as in a street)
635;n02236044;mantis, mantid;"predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer"
338;n03720891;maraca;"a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs"
339;n03721384;marimba, xylophone;"a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets"
175;n02490219;marmoset;small soft-furred South American and Central American monkey with claws instead of nails
183;n02361337;marmot;"stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter"
734;n07711569;mashed potato;potato that has been peeled and boiled and then mashed
781;n03724870;mask;a covering to disguise or conceal the face
984;n03729826;matchstick;a short thin stick of wood used in making matches
598;n03733131;maypole;a vertical pole or post decorated with streamers that can be held by dancers celebrating May Day
922;n03733281;maze, labyrinth;complex system of paths or tunnels in which it is easy to get lost
946;n03733805;measuring cup;graduated cup used to measure liquid or granular ingredients
806;n07871810;meat loaf, meatloaf;a baked loaf of ground meat
302;n03742115;medicine chest, medicine cabinet;cabinet that holds medicines and toiletries
35;n02138441;meerkat, mierkat;a mongoose-like viverrine of South Africa having a face like a lemur and only four toes
717;n03743016;megalith, megalithic structure;memorial consisting of a very large stone forming part of a prehistoric structure (especially in western Europe)
803;n07565083;menu;the dishes making up a meal
46;n02113978;Mexican hairless;any of an old breed of small nearly hairless dogs of Mexico
509;n03759954;microphone, mike;device for converting sound waves into electrical energy
661;n03761084;microwave, microwave oven;"kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by t... <Preview truncated at 128 characters>"
866;n03763968;military uniform;prescribed identifying uniform for soldiers
875;n03764736;milk can;large can for transporting milk
187;n02107312;miniature pinscher;small German version of a Doberman pinscher
49;n02113712;miniature poodle;a breed of small poodles
123;n02097047;miniature schnauzer;a small schnauzer
920;n03769881;minibus;a light bus (4 to 10 passengers)
880;n03770439;miniskirt, mini;a very short skirt
271;n03770679;minivan;"a small box-shaped passenger van; usually has removable seats; used as a family car"
23;n02442845;mink;"slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur"
251;n03773504;missile;"a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control"
871;n03775071;mitten;glove that encases the thumb separately and the other four fingers together
829;n03775546;mixing bowl;bowl used with an electric mixer
290;n03776460;mobile home, manufactured home;a large house trailer that can be connected to utilities and can be parked in one place and used as permanent housing
272;n03777568;Model T;"the first widely available automobile powered by a gasoline engine; mass-produced by Henry Ford from 1908 to 1927"
764;n03777754;modem;(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telep... <Preview truncated at 128 characters>
643;n02279972;monarch, monarch butterfly, milkweed butterfly, Danaus plexippus;"large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed"
686;n03781244;monastery;the residence of a religious community
74;n02137549;mongoose;"agile grizzled Old World viverrine; preys on snakes and rodents"
869;n03782006;monitor;electronic equipment that is used to check the quality or content of electronic transmissions
277;n03785016;moped;a motorbike that can be pedaled or driven by a low-powered gasoline engine
824;n03786901;mortar;a bowl-shaped vessel in which substances can be ground and mixed with a pestle
854;n03787032;mortarboard;an academic cap with a flat square with a tassel on top
691;n03788195;mosque;(Islam) a Muslim place of worship that usually has a minaret
852;n03788365;mosquito net;a fine net or screen (especially around beds) to protect against mosquitos
260;n03791053;motor scooter, scooter;a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel
255;n03792782;mountain bike, all-terrain bike, off-roader;"a bicycle with a sturdy frame and fat tires; originally designed for riding in mountainous country"
728;n03792972;mountain tent;"a lightweight tent with a floor; flaps close with a zipper"
511;n03793489;mouse, computer mouse;a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a p... <Preview truncated at 128 characters>
599;n03794056;mousetrap;a trap for catching mice
284;n03796401;moving van;a van used for moving home or office furniture
460;n01667114;mud turtle;bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America
746;n07734744;mushroom;fleshy body of any of numerous edible fungi
588;n03803284;muzzle;a leather or wire restraint that fits over an animals snout (especially a dogs nose and jaws) and prevents it from eating or b... <Preview truncated at 128 characters>
585;n03804744;nail;a thin pointed piece of metal that is hammered into materials as a fastener
595;n03814639;neck brace;a brace worn to steady the neck
755;n03814906;necklace;jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
651;n01930112;nematode, nematode worm, roundworm;"unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic"
60;n02111277;Newfoundland, Newfoundland dog;"a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; develope... <Preview truncated at 128 characters>"
485;n01740131;night snake, Hypsiglena torquata;nocturnal prowler of western United States and Mexico
915;n03825788;nipple;a flexible cap on a babys feeding bottle or pacifier
88;n02094114;Norfolk terrier;English breed of small terrier with a straight wiry grizzled coat and dropped ears
63;n02091467;Norwegian elkhound, elkhound;breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk
145;n02094258;Norwich terrier;English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears
552;n03832673;notebook, notebook computer;a small compact portable computer
699;n03837869;obelisk;a stone pillar having a rectangular cross section tapering towards a pyramidal top
354;n03838899;oboe, hautboy, hautbois;"a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece"
351;n03840681;ocarina, sweet potato;egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
520;n03841143;odometer, hodometer, mileometer, milometer;a meter that shows mileage traversed
513;n03843555;oil filter;a filter that removes impurities from the oil used to lubricate an internal-combustion engine
29;n02105641;Old English sheepdog, bobtail;"large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation o... <Preview truncated at 128 characters>"
319;n07747607;orange;round yellow to orange fruit of any of several citrus trees
83;n02480495;orangutan, orang, orangutang, Pongo pygmaeus;large long-armed ape of Borneo and Sumatra having arboreal habits
333;n03854065;organ, pipe organ;wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from ... <Preview truncated at 128 characters>
870;n03857828;oscilloscope, scope, cathode-ray oscilloscope, CRO;electronic equipment that provides visual images of varying electrical quantities
385;n01518878;ostrich, Struthio camelus;"fast-running African flightless bird with two-toed feet; largest living bird"
212;n02444819;otter;freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
31;n02091635;otterhound, otter hound;"hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters"
937;n03866082;overskirt;an outer skirt worn over another skirt
108;n02403003;ox;"an adult castrated bull of the genus Bos; especially Bos taurus"
295;n03868242;oxcart;a cart that is drawn by an ox
506;n03868863;oxygen mask;"a breathing device that is placed over the mouth and nose; supplies oxygen from an attached storage tank"
437;n02037110;oystercatcher, oyster catcher;"black-and-white shorebird with stout legs and bill; feed on oysters etc."
921;n03871628;packet;a small package or bundle
826;n03873416;paddle, boat paddle;a short light oar used without an oarlock to propel a canoe or small boat
564;n03874293;paddlewheel, paddle wheel;a large wheel fitted with paddles and driven by an engine in order to propel a boat
584;n03874599;padlock;"a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped... <Preview truncated at 128 characters>"
504;n03876231;paintbrush;a brush used as an applicator (to apply paint)
759;n03877472;pajama, pyjama, pjs, jammies;"(usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers"
685;n03877845;palace;official residence of an exalted person (as a sovereign)
352;n03884397;panpipe, pandean pipe, syrinx;a primitive wind instrument consisting of several parallel pipes bound together
877;n03887697;paper towel;a disposable towel made of absorbent paper
43;n02086910;papillon;small slender toy spaniel with erect ears and a black-spotted brown to white coat
942;n03888257;parachute, chute;rescue equipment consisting of a device that fills with air and retards your fall
994;n03888605;parallel bars, bars;gymnastic apparatus consisting of two parallel wooden rods supported on uprights
306;n03891251;park bench;a bench in a public park
527;n03891332;parking meter;"a coin-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specif... <Preview truncated at 128 characters>"
407;n01807496;partridge;small Old World gallinaceous game birds
257;n03895866;passenger car, coach, carriage;a railcar where passengers ride
135;n02486261;patas, hussar monkey, Erythrocebus patas;reddish long-tailed monkey of west Africa
679;n03899768;patio, terrace;usually paved outdoor area adjoining a residence
843;n03902125;pay-phone, pay-station;a coin-operated telephone
405;n01806143;peacock;"male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots"
732;n03903868;pedestal, plinth, footstall;an architectural support or base (as for a column or statue)
